,0,1,kmeans_cluster
0,-103.1369,-65.37394,1
1,-94.2977,-90.09457,0
2,-87.86752,-45.669193,1
3,-101.99982,-80.41455,1
4,-110.495476,-64.72184,1
5,-109.36632,-68.426254,1
6,-108.44242,-89.01485,0
7,-107.42229,-108.93481,0
8,-105.34549,-85.51896,0
9,-87.65512,-95.89155,0
10,-104.96806,-87.13718,0
11,-106.832794,-77.05877,1
12,-110.087524,-58.698154,1
13,-116.04326,-75.24059,1
14,-81.37463,-56.41477,1
15,-98.12721,-62.295757,1
16,-104.64201,-86.55854,0
17,-86.50915,-76.52294,1
18,-118.16567,-86.90555,0
19,-97.677246,-57.049618,1
20,-96.44627,-55.316936,1
21,-92.66017,-46.949154,1
22,-89.16437,-68.045876,1
23,-101.29199,-75.857994,1
24,-95.44211,-119.10389,0
25,-115.82268,-82.095406,0
26,-112.53214,-80.46368,0
27,-104.1055,-63.457832,1
28,-111.884,-95.45418,0
29,-94.82889,-68.262474,1
30,-102.88465,-70.64631,1
31,-103.30036,-53.325283,1
32,-68.41913,-44.26514,1
33,-95.97908,-67.35612,1
34,-98.67598,-67.74922,1
35,-112.6611,-66.177605,1
36,-94.007675,-60.82485,1
37,-104.121124,-61.62808,1
38,-112.795395,-73.37507,1
39,-102.160126,-69.6756,1
40,-88.99141,-70.0303,1
41,-89.474075,-80.09205,1
42,-108.4872,-75.05439,1
43,-98.76771,-82.23281,1
44,-101.29155,-44.167515,1
45,-109.59013,-64.74053,1
46,-108.76705,-77.09132,1
47,-112.95439,-80.874535,0
48,-102.24489,-65.771965,1
49,-112.871216,-66.171196,1
50,-94.62071,-123.20554,0
51,-113.35919,-60.574398,1
52,-109.17827,-72.038414,1
53,-129.74365,-75.702736,0
54,-104.54373,-63.393475,1
55,-100.167725,-94.50424,0
56,-111.86429,-66.98224,1
57,-86.36987,-46.322205,1
58,-101.14783,-76.0985,1
59,-93.79875,-59.621334,1
60,-104.28075,-72.3099,1
61,-83.50724,-83.162834,1
62,-109.05008,-96.006355,0
63,-134.20969,-84.55893,0
64,-100.2995,-87.99677,0
65,-92.77529,-62.920017,1
66,-145.60281,-90.68972,0
67,-85.082085,-72.61404,1
68,-84.58189,-53.51363,1
69,-138.70236,-87.44744,0
70,-98.26115,-166.91225,0
71,-131.77621,-67.506134,1
72,-105.93616,-72.437065,1
73,-87.69255,-61.040295,1
74,-121.87307,-80.68264,0
75,-105.02664,-70.887886,1
76,-95.66269,-65.67745,1
77,-95.883194,-77.61318,1
78,-81.8456,-61.10323,1
79,-120.08316,-77.392876,0
80,-99.4364,-85.883354,0
81,-106.79655,-59.46001,1
82,-83.5157,-92.81312,0
83,-98.26753,-79.48049,1
84,-105.07588,-79.39013,1
85,-141.54971,-86.20005,0
86,-100.983116,-75.98525,1
87,-104.119225,-68.12097,1
88,-104.32629,-73.019905,1
89,-98.09427,-73.70965,1
90,-100.36081,-65.611916,1
91,-103.155815,-70.401146,1
92,-97.09507,-103.837776,0
93,-96.91712,-74.529945,1
94,-100.66116,-52.605373,1
95,-78.038155,-100.53391,0
96,-99.60373,-77.99533,1
97,-108.50086,-85.69875,0
98,-86.13054,-50.970737,1
99,-119.45881,-69.055115,1
100,-115.25139,-79.43119,0
101,-110.42534,-102.08998,0
102,-127.28053,-82.702805,0
103,-93.32321,-126.64706,0
104,-96.31337,-67.05608,1
105,-125.02081,-79.976906,0
106,-82.3566,-91.42193,0
107,-101.10792,-61.15911,1
108,-207.35065,-68.47551,0
109,-96.61515,-65.93219,1
110,-90.32772,-57.55101,1
111,-99.843475,-67.930626,1
112,-126.59436,-80.39351,0
113,-100.847046,-68.27909,1
114,-100.111435,-92.62604,0
115,-90.32804,-44.69486,1
116,-128.1727,-98.86496,0
117,-87.76387,-76.498985,1
118,74.456696,-490.57278,2
119,-123.86691,-120.51684,0
120,-88.829056,-66.072044,1
121,-98.436104,-59.982746,1
122,-91.4457,-68.260445,1
123,-118.143394,-86.76882,0
124,-102.61596,-67.92373,1
125,-124.00752,-79.1433,0
