,0,1,2,3,4,5
"(2, 26)",77.78,38.57,32.14,20.0,10.71,0.0
"(2, 47)",70.37,42.86,31.43,18.33,14.29,0.0
"(2, 50)",74.07,41.43,33.57,20.0,10.71,0.0
"(2, 77)",66.67,38.57,26.43,18.33,0.0,0.0
"(2, 89)",77.78,41.43,31.43,20.0,10.71,0.0
"(2, 92)",74.07,40.0,32.86,20.0,10.71,0.0
"(2, 95)",74.07,41.43,31.43,18.33,10.71,0.0
"(2, 110)",77.78,37.14,29.29,18.33,14.29,0.0
"(2, 113)",74.07,40.0,31.43,18.33,10.71,0.0
"(2, 116)",74.07,38.57,31.43,18.33,10.71,0.0
"(2, 137)",74.07,38.57,31.43,18.33,10.71,0.0
"(2, 140)",70.37,42.86,34.29,20.0,14.29,0.0
"(2, 149)",74.07,42.86,32.14,20.0,10.71,0.0
"(2, 164)",100.0,-1.0,-1.0,-1.0,-1.0,-1.0
"(2, 176)",74.07,37.14,30.71,20.0,10.71,0.0
"(2, 188)",74.07,38.57,32.86,18.33,10.71,0.0
"(2, 191)",74.07,40.0,32.86,18.33,10.71,0.0
"(2, 209)",100.0,-1.0,-1.0,-1.0,-1.0,-1.0
"(2, 221)",100.0,-1.0,-1.0,-1.0,-1.0,-1.0
"(2, 233)",77.78,40.0,32.14,18.33,10.71,0.0
"(2, 236)",77.78,38.57,31.43,20.0,10.71,0.0
"(2, 245)",77.78,40.0,29.29,18.33,10.71,0.0
"(2, 254)",74.07,40.0,31.43,18.33,10.71,0.0
"(2, 263)",100.0,-1.0,-1.0,-1.0,-1.0,-1.0
"(2, 266)",74.07,38.57,31.43,20.0,10.71,0.0
"(2, 275)",74.07,41.43,32.86,20.0,10.71,0.0
"(2, 281)",77.78,40.0,29.29,18.33,10.71,0.0
"(2, 287)",74.07,40.0,32.86,20.0,10.71,0.0
"(2, 299)",100.0,-1.0,-1.0,-1.0,-1.0,-1.0
