,0,1,2
"(2, 10)",67.01,50.0,46.88
"(2, 13)",74.23,26.5,0.0
"(2, 16)",72.16,29.5,0.0
"(2, 19)",64.95,50.5,46.88
"(2, 22)",88.66,29.5,0.0
"(2, 25)",89.69,27.0,0.0
"(2, 28)",73.2,31.5,0.0
"(2, 31)",75.26,27.5,0.0
"(2, 34)",64.95,37.5,0.0
"(2, 37)",87.63,35.5,0.0
"(2, 40)",88.66,25.0,0.0
"(2, 43)",67.01,50.5,46.88
"(2, 46)",67.01,51.0,46.88
"(2, 49)",90.72,30.5,0.0
"(2, 52)",89.69,30.0,0.0
"(2, 55)",88.66,24.5,0.0
"(2, 58)",68.04,52.5,31.25
"(2, 61)",67.01,34.0,0.0
"(2, 64)",64.95,51.5,46.88
"(2, 67)",77.32,41.5,25.0
"(2, 70)",100.0,-1.0,-1.0
"(2, 73)",75.26,45.0,34.38
"(2, 76)",83.51,31.5,0.0
"(2, 79)",65.98,35.5,0.0
"(2, 82)",74.23,44.0,31.25
"(2, 85)",83.51,40.0,0.0
"(2, 88)",79.38,40.5,25.0
"(2, 91)",87.63,33.5,0.0
"(2, 94)",86.6,26.0,0.0
"(2, 97)",70.1,30.0,0.0
