,0,1,2
"(2, 'linear', 1)",63.16,57.24,29.41
"(2, 'linear', 7)",76.84,46.9,20.59
"(2, 'linear', 10)",78.95,40.0,14.71
"(2, 'linear', 13)",63.16,49.66,50.0
"(2, 'linear', 16)",65.26,53.1,52.94
"(2, 'linear', 22)",62.11,54.48,52.94
"(2, 'linear', 25)",66.32,52.41,50.0
"(2, 'linear', 31)",62.11,52.41,52.94
"(2, 'linear', 34)",62.11,51.72,55.88
"(2, 'linear', 37)",72.63,51.03,32.35
"(2, 'linear', 40)",63.16,53.1,55.88
"(2, 'linear', 46)",63.16,53.1,52.94
"(2, 'linear', 49)",65.26,51.03,50.0
"(2, 'linear', 52)",63.16,53.1,52.94
"(2, 'linear', 55)",61.05,53.1,55.88
"(2, 'linear', 67)",61.05,55.86,50.0
"(2, 'linear', 73)",61.05,53.79,52.94
"(2, 'linear', 85)",61.05,53.1,50.0
"(2, 'linear', 94)",62.11,52.41,52.94
"(2, 'linear', 97)",63.16,52.41,55.88
"(3, 'linear', 1)",76.84,38.62,11.76
"(3, 'linear', 4)",48.42,24.14,64.71
"(3, 'linear', 7)",51.58,54.48,61.76
"(3, 'linear', 13)",71.58,47.59,32.35
"(3, 'linear', 25)",73.68,47.59,14.71
"(3, 'linear', 28)",62.11,52.41,52.94
"(3, 'linear', 31)",61.05,53.79,52.94
"(3, 'linear', 34)",68.42,50.34,50.0
"(3, 'linear', 43)",62.11,55.17,50.0
"(3, 'linear', 46)",73.68,48.97,44.12
"(3, 'linear', 49)",63.16,52.41,55.88
"(3, 'linear', 52)",62.11,52.41,52.94
"(3, 'linear', 55)",66.32,52.41,52.94
"(3, 'linear', 64)",63.16,51.72,55.88
"(3, 'linear', 67)",65.26,52.41,55.88
"(3, 'linear', 79)",62.11,54.48,55.88
"(3, 'linear', 82)",61.05,53.79,52.94
"(3, 'linear', 88)",62.11,51.72,55.88
"(3, 'linear', 97)",65.26,51.03,55.88
"(4, 'linear', 1)",89.47,35.17,0.0
"(4, 'linear', 4)",72.63,53.1,32.35
"(4, 'linear', 7)",66.32,48.28,47.06
"(4, 'linear', 10)",91.58,30.34,0.0
"(4, 'linear', 13)",90.53,24.83,0.0
"(4, 'linear', 22)",63.16,52.41,50.0
"(4, 'linear', 25)",69.47,51.72,50.0
"(4, 'linear', 49)",64.21,51.03,52.94
"(4, 'linear', 58)",64.21,52.41,52.94
"(4, 'linear', 64)",61.05,52.41,55.88
"(4, 'linear', 73)",63.16,52.41,55.88
"(4, 'linear', 79)",63.16,53.1,55.88
"(4, 'linear', 82)",62.11,51.72,55.88
"(4, 'linear', 88)",63.16,53.1,55.88
"(4, 'linear', 91)",61.05,53.79,55.88
"(4, 'linear', 97)",62.11,51.72,55.88
